Datacenter,Rack,Elevation,Hostname,Domain,Model,Host Serial Num,Chassis Serial Num,Service Tag,UW,CSL,Morgridge,Notes
CS2360,10S-206,9,e2558,chtc.wisc.edu,Dell PowerEdge R6525,GBC4RN3,,GBC4RN3,U045015,,,
CS2360,10S-206,8,e2559,chtc.wisc.edu,Dell PowerEdge R6525,DBC4RN3,,DBC4RN3,U045016,,,
CS2360,10S-206,7,e2560,chtc.wisc.edu,Dell PowerEdge R6525,HBC4RN3,,HBC4RN3,U045017,,,
CS2360,10S-206,6,e2561,chtc.wisc.edu,Dell PowerEdge R6525,1CC4RN3,,1CC4RN3,U045018,,,
CS2360,10S-206,5,e2562,chtc.wisc.edu,Dell PowerEdge R6525,BBC4RN3,,BBC4RN3,U045019,,,
CS2360,10S-206,4,e2563,chtc.wisc.edu,Dell PowerEdge R6525,FBC4RN3,,FBC4RN3,U045020,,,
CS2360,10S-206,3,e2564,chtc.wisc.edu,Dell PowerEdge R6525,CQ44RN3,,CQ44RN3,U045021,,,
CS2360,10S-206,2,e2565,chtc.wisc.edu,Dell PowerEdge R6525,1R44RN3,,1R44RN3,U045022,,,
CS2360,10S-206,1,e2566,chtc.wisc.edu,Dell PowerEdge R6525,HQ44RN3,,HQ44RN3,U045023,,,
CS2360,10S-203,13,e2588,chtc.wisc.edu,Dell PowerEdge R6525,2X0X0R3,,2X0X0R3,U044979,,,
CS2360,10S-203,12,e2589,chtc.wisc.edu,Dell PowerEdge R6525,1X0X0R3,,1X0X0R3,U044980,,,
CS2360,10S-203,11,e2590,chtc.wisc.edu,Dell PowerEdge R6525,FW0X0R3,,FW0X0R3,U044981,,,hostname not found
CS2360,10S-203,10,e2591,chtc.wisc.edu,Dell PowerEdge R6525,4RGV0R3,,4RGV0R3,U044982,,,hostname not found
CS2360,10S-203,9,e2592,chtc.wisc.edu,Dell PowerEdge R6525,JQGV0R3,,JQGV0R3,U044983,,,hostname not found
CS2360,10S-203,8,e2593,chtc.wisc.edu,Dell PowerEdge R6525,HQGV0R3,,HQGV0R3,U044984,,,hostname not found
CS2360,10S-203,7,e2594,chtc.wisc.edu,Dell PowerEdge R6525,5RGV0R3,,5RGV0R3,U044985,,,hostname not found
CS2360,10S-203,6,e2595,chtc.wisc.edu,Dell PowerEdge R6525,1RGV0R3,,1RGV0R3,U044986,,,
CS2360,10S-203,5,e2596,chtc.wisc.edu,Dell PowerEdge R6525,GQGV0R3,,GQGV0R3,U044987,,,
CS2360,10S-203,4,e2597,chtc.wisc.edu,Dell PowerEdge R6525,2RGV0R3,,2RGV0R3,U044988,,,
CS2360,10S-203,3,e2598,chtc.wisc.edu,Dell PowerEdge R6525,3RGV0R3,,3RGV0R3,U044989,,,
CS2360,10S-109,2,e2599,chtc.wisc.edu,Dell PowerEdge R6525,7NGV0R3,,7NGV0R3,U044990,,,
CS2360,8S-209,17,e260,chtc.wisc.edu,Cisco UCS C220 M3,FCH1818V1LG,,FCH1818V1LG,U011107,,,
CS2360,10S-203,1,e2600,chtc.wisc.edu,Dell PowerEdge R6525,9NGV0R3,,9NGV0R3,U044991,,,ssh timed out | U15 in 10S-109 is empty
CS2360,10S-109,14,e2601,chtc.wisc.edu,Dell PowerEdge R6525,6NGV0R3,,6NGV0R3,U044992,,,
CS2360,10S-109,13,e2602,chtc.wisc.edu,Dell PowerEdge R6525,CNGV0R3,,CNGV0R3,U044993,,,
